Doctor_ID,Total_Patients_Treated,Departments_Covered,Avg_Treatment_Cost_USD,Avg_Length_of_Stay_Days,Readmission_Rate_Pct
DOC0001,37,9,3879.76,4.6,8.1
DOC0002,40,9,4950.32,6.0,5.0
DOC0003,44,10,6355.52,6.3,4.5
DOC0004,45,10,5051.96,6.2,8.9
DOC0005,33,9,4896.82,6.0,12.1
DOC0006,32,10,4880.22,4.6,3.1
DOC0007,34,10,6130.76,5.7,0.0
DOC0008,40,10,3575.3,4.2,5.0
DOC0009,31,9,2271.61,3.8,3.2
DOC0010,36,9,6772.42,5.4,8.3
DOC0011,36,10,4884.56,5.6,5.6
DOC0012,33,10,6861.85,6.7,12.1
DOC0013,53,10,5261.75,5.3,17.0
DOC0014,43,10,4697.81,5.2,4.7
DOC0015,46,10,6696.15,6.3,15.2
DOC0016,34,10,5026.24,4.9,8.8
DOC0017,39,10,6302.67,5.6,12.8
DOC0018,37,10,4287.35,5.1,10.8
DOC0019,33,9,5797.82,6.4,9.1
DOC0020,37,10,5533.08,6.7,10.8
DOC0021,39,10,5178.72,5.7,10.3
DOC0022,45,10,5682.64,5.7,13.3
DOC0023,42,10,5472.64,5.7,14.3
DOC0024,42,10,4388.9,4.6,11.9
DOC0025,43,10,3132.98,4.0,2.3
DOC0026,27,10,5338.11,5.4,0.0
DOC0027,32,9,3555.19,5.0,9.4
DOC0028,31,9,2469.48,4.1,6.5
DOC0029,51,10,4369.37,5.5,7.8
DOC0030,33,10,7684.7,6.8,9.1
DOC0031,37,10,4816.95,4.8,2.7
DOC0032,31,8,5773.19,7.2,6.5
DOC0033,35,10,9794.4,7.9,20.0
DOC0034,38,9,5529.95,5.0,7.9
DOC0035,32,10,5744.72,6.4,12.5
DOC0036,32,10,5320.81,6.4,0.0
DOC0037,31,9,5263.42,5.4,3.2
DOC0038,25,10,3638.0,4.6,8.0
DOC0039,31,10,7044.16,7.9,12.9
DOC0040,35,10,3650.49,4.5,8.6
DOC0041,28,8,4010.86,4.9,3.6
DOC0042,41,10,5206.68,6.4,7.3
DOC0043,38,10,4158.82,6.0,2.6
DOC0044,33,9,3552.67,3.7,0.0
DOC0045,44,10,4482.25,4.5,6.8
DOC0046,34,10,3447.0,5.1,2.9
DOC0047,21,8,7858.33,7.2,4.8
DOC0048,39,10,5197.92,5.7,2.6
DOC0049,38,10,5841.45,6.3,10.5
DOC0050,36,10,4428.36,5.0,13.9
DOC0051,34,9,9047.38,8.4,17.6
DOC0052,32,10,7349.88,7.3,12.5
DOC0053,40,10,4060.1,4.8,5.0
DOC0054,33,10,5690.55,5.8,18.2
DOC0055,46,10,4223.76,5.0,2.2
DOC0056,31,10,5589.39,5.1,6.5
DOC0057,35,10,6127.43,6.1,11.4
DOC0058,36,10,3221.5,4.3,5.6
DOC0059,36,10,3336.97,4.7,5.6
DOC0060,42,10,2275.62,4.1,4.8
DOC0061,45,10,6087.53,5.6,8.9
DOC0062,45,10,5274.22,5.2,8.9
DOC0063,24,9,4383.38,6.1,16.7
DOC0064,29,10,6155.83,6.7,6.9
DOC0065,35,10,4102.66,5.2,14.3
DOC0066,41,9,5131.95,5.7,14.6
DOC0067,39,10,3242.49,4.5,10.3
