"Customer_ID","Customer_Name","Age","Age_Group","Gender","City"
"CUST5529","Customer_227",30.0,"26-35","Female","Bengaluru"
"CUST3127","Customer_182",63.0,"56+","Male","Bengaluru"
"CUST8887","Customer_487",62.0,"56+","Female","Bengaluru"
"CUST2515","Customer_470",65.0,"56+","Female","Kolkata"
"CUST4796","Customer_380",44.0,"36-45","Male","Bengaluru"
"CUST3952","Customer_71",40.0,"36-45","Female","Hyderabad"
"CUST1758","Customer_335",61.0,"56+","Male","Patna"
"CUST9622","Customer_224",35.0,"26-35","Male","Kolkata"
"CUST9770","Customer_494",41.0,"36-45","Female","Mumbai"
"CUST1312","Customer_40",30.0,"26-35","Male","Kolkata"
"CUST9642","Customer_162",51.0,"46-55","Male","Delhi"
"CUST3228","Customer_209",55.0,"46-55","Female","Patna"
"CUST1038","Customer_454",32.0,"26-35","Male","Patna"
"CUST6413","Customer_490",50.0,"46-55","Female","Patna"
"CUST8660","Customer_213",42.0,"36-45","Female","Patna"
"CUST9307","Customer_313",36.0,"36-45","Female","Delhi"
"CUST4363","Customer_161",30.0,"26-35","Female","Delhi"
"CUST3508","Customer_67",31.0,"26-35","Male","Gaya"
"CUST5806","Customer_103",57.0,"56+","Female","Mumbai"
"CUST6504","Customer_357",34.0,"26-35","Male","Kolkata"
"CUST8908","Customer_190",65.0,"56+","Male","Pune"
"CUST2903","Customer_122",31.0,"26-35","Female","Mumbai"
"CUST1406","Customer_499",52.0,"46-55","Male","Gaya"
"CUST8036","Customer_173",44.0,"36-45","Male","Patna"
"CUST6532","Customer_348",30.0,"26-35","Male","Pune"
"CUST2482","Customer_183",65.0,"56+","Male","Mumbai"
"CUST2003","Customer_48",35.0,"26-35","Female","Mumbai"
"CUST6149","Customer_181",32.0,"26-35","Female","Patna"
"CUST3688","Customer_205",38.0,"36-45","Female","Bengaluru"
"CUST3212","Customer_415",33.0,"26-35","Male","Gaya"
"CUST5063","Customer_50",33.0,"26-35","Female","Mumbai"
"CUST9565","Customer_350",21.0,"18-25","Female","Mumbai"
"CUST9325","Customer_352",44.0,"36-45","Female","Mumbai"
"CUST4002","Customer_388",18.0,"18-25","Female","Gaya"
"CUST8975","Customer_315",36.0,"36-45","Female","Gaya"
"CUST2669","Customer_151",46.0,"46-55","Male","Bengaluru"
"CUST5869","Customer_415",23.0,"18-25","Male","Delhi"
"CUST7249","Customer_144",29.0,"26-35","Male","Kolkata"
"CUST7465","Customer_345",58.0,"56+","Female","Bengaluru"
"CUST7988","Customer_383",39.0,"36-45","Female","Mumbai"
"CUST9953","Customer_484",50.0,"46-55","Female","Hyderabad"
"CUST6938","Customer_344",43.0,"36-45","Female","Kolkata"
"CUST3006","Customer_256",58.0,"56+","Male","Patna"
"CUST5151","Customer_409",55.0,"46-55","Female","Bengaluru"
"CUST5903","Customer_396",27.0,"26-35","Female","Hyderabad"
"CUST4943","Customer_198",34.0,"26-35","Male","Mumbai"
"CUST4750","Customer_78",42.0,"36-45","Female","Delhi"
"CUST2705","Customer_117",55.0,"46-55","Male","Kolkata"
"CUST5523","Customer_432",41.0,"36-45","Male","Pune"
"CUST1557","Customer_87",39.0,"36-45","Female","Mumbai"
"CUST2062","Customer_254",58.0,"56+","Male","Patna"
"CUST9203","Customer_70",33.0,"26-35","Male","Delhi"
"CUST8053","Customer_408",58.0,"56+","Male","Delhi"
"CUST1017","Customer_387",42.0,"36-45","Female","Pune"
"CUST2690","Customer_11",26.0,"26-35","Male","Delhi"
"CUST2791","Customer_20",58.0,"56+","Female","Bengaluru"
"CUST4496","Customer_53",18.0,"18-25","Female","Bengaluru"
"CUST8811","Customer_115",50.0,"46-55","Female","Bengaluru"
"CUST2411","Customer_292",47.0,"46-55","Female","Mumbai"
"CUST2350","Customer_205",46.0,"46-55","Male","Pune"
"CUST9745","Customer_48",27.0,"26-35","Male","Mumbai"
"CUST6236","Customer_312",43.0,"36-45","Female","Kolkata"
"CUST1887","Customer_209",21.0,"18-25","Male","Hyderabad"
"CUST5386","Customer_125",47.0,"46-55","Male","Gaya"
"CUST8065","Customer_92",53.0,"46-55","Male","Kolkata"
"CUST8841","Customer_407",36.0,"36-45","Female","Patna"
"CUST5871","Customer_335",39.0,"36-45","Female","Delhi"
"CUST9869","Customer_394",40.0,"36-45","Female","Hyderabad"
"CUST9017","Customer_51",26.0,"26-35","Female","Delhi"
"CUST1808","Customer_150",56.0,"56+","Male","Patna"
"CUST2565","Customer_360",52.0,"46-55","Female","Hyderabad"
"CUST4958","Customer_160",45.0,"36-45","Male","Gaya"
"CUST7587","Customer_223",27.0,"26-35","Male","Pune"
"CUST2157","Customer_31",58.0,"56+","Male","Unknown"
"CUST8430","Customer_277",45.0,"36-45","Male","Gaya"
"CUST1956","Customer_317",22.0,"18-25","Female","Bengaluru"
"CUST9846","Customer_298",58.0,"56+","Female","Patna"
"CUST4706","Customer_34",62.0,"56+","Female","Delhi"
"CUST5607","Customer_265",61.0,"56+","Female","Gaya"
"CUST8211","Customer_62",19.0,"18-25","Female","Gaya"
"CUST5367","Customer_499",25.0,"18-25","Female","Hyderabad"
"CUST8346","Customer_384",30.0,"26-35","Male","Hyderabad"
"CUST7484","Customer_478",36.0,"36-45","Male","Gaya"
"CUST7911","Customer_7",59.0,"56+","Male","Delhi"
"CUST4229","Customer_234",51.0,"46-55","Male","Hyderabad"
"CUST2290","Customer_195",56.0,"56+","Male","Mumbai"
"CUST1246","Customer_165",59.0,"56+","Female","Kolkata"
"CUST3689","Customer_179",44.0,"36-45","Female","Delhi"
"CUST7476","Customer_45",21.0,"18-25","Female","Hyderabad"
"CUST7037","Customer_45",34.0,"26-35","Male","Mumbai"
"CUST8578","Customer_154",48.0,"46-55","Male","Kolkata"
"CUST6618","Customer_311",19.0,"18-25","Male","Pune"
"CUST4650","Customer_370",32.0,"26-35","Male","Delhi"
"CUST5091","Customer_375",47.0,"46-55","Male","Bengaluru"
"CUST2190","Customer_318",38.0,"36-45","Male","Hyderabad"
"CUST7277","Customer_320",62.0,"56+","Female","Mumbai"
"CUST8623","Customer_84",32.0,"26-35","Male","Hyderabad"
"CUST5232","Customer_395",54.0,"46-55","Male","Gaya"
