"Order_ID","Customer_ID","Product","Order_Date","Order_Year","Order_Quarter","Quantity","Unit_Price","Total_Sales","Product_ID"
"ORD100002","CUST5529","Rice","2025-02-25",2025,1,7,2829.77,19808.39,1
"ORD100003","CUST3127","Book","2025-10-14",2025,4,5,27906.16,139530.8,2
"ORD100004","CUST8887","Book","2025-05-13",2025,2,8,37491.06,299928.48,2
"ORD100005","CUST2515","Mobile","2025-12-02",2025,4,9,28541.36,256872.24,3
"ORD100006","CUST4796","Rice","2025-11-20",2025,4,10,14036.59,140365.9,1
"ORD100007","CUST3952","Laptop","2025-12-31",2025,4,9,35947.47,323527.23,4
"ORD100008","CUST1758","Mobile","2025-10-14",2025,4,6,49997.53,299985.18,3
"ORD100009","CUST9622","Laptop","2025-12-05",2025,4,3,9488.83,28466.49,4
"ORD100010","CUST9770","Book","2025-11-21",2025,4,6,19488.23,116929.38,2
"ORD100011","CUST1312","Mobile","2025-04-16",2025,2,8,18024.34,144194.72,3
"ORD100012","CUST9642","Shoes","2025-05-05",2025,2,3,14151.42,42454.26,5
"ORD100013","CUST3228","Chair","2025-05-02",2025,2,6,47175.43,283052.58,6
"ORD100014","CUST1038","Rice","2025-05-06",2025,2,5,7413.68,37068.4,1
"ORD100015","CUST6413","Shoes","2025-04-24",2025,2,8,12042.52,96340.16,5
"ORD100016","CUST8660","Mobile","2025-03-12",2025,1,8,25465.31,203722.48,3
"ORD100017","CUST9307","Shoes","2025-08-30",2025,3,10,20111.09,201110.9,5
"ORD100018","CUST4363","Book","2025-11-30",2025,4,10,40109.12,401091.2,2
"ORD100019","CUST3508","Shoes","2025-10-19",2025,4,1,7280.64,7280.64,5
"ORD100020","CUST5806","Chair","2025-07-24",2025,3,5,6122.59,30612.95,6
"ORD100021","CUST6504","Laptop","2025-03-20",2025,1,8,23770.36,190162.88,4
"ORD100022","CUST8908","Shoes","2025-03-18",2025,1,1,2344.98,2344.98,5
"ORD100023","CUST2903","Book","2025-10-04",2025,4,7,15396.37,107774.59,2
"ORD100024","CUST1406","Shoes","2025-11-23",2025,4,10,31576.5,315765.0,5
"ORD100025","CUST8036","Laptop","2025-09-14",2025,3,2,11127.06,22254.12,4
"ORD100026","CUST6532","Rice","2025-03-16",2025,1,7,36069.86,252489.02,1
"ORD100027","CUST2482","Book","2025-04-10",2025,2,9,39414.46,354730.14,2
"ORD100028","CUST2003","Rice","2025-08-01",2025,3,2,23837.41,47674.82,1
"ORD100029","CUST6149","Laptop","2025-08-10",2025,3,5,14534.79,72673.95,4
"ORD100030","CUST3688","Mobile","2025-02-05",2025,1,10,21393.69,213936.9,3
"ORD100031","CUST3212","Rice","2025-08-09",2025,3,2,21382.16,42764.32,1
"ORD100032","CUST5063","Mobile","2025-05-13",2025,2,1,15831.03,15831.03,3
"ORD100033","CUST9565","Book","2025-10-22",2025,4,8,21791.66,174333.28,2
"ORD100034","CUST9325","Laptop","2025-12-04",2025,4,5,17556.08,87780.4,4
"ORD100035","CUST4002","Laptop","2025-05-03",2025,2,5,46822.84,234114.2,4
"ORD100036","CUST8975","Mobile","2025-03-08",2025,1,4,47896.7,191586.8,3
"ORD100037","CUST2669","Laptop","2025-02-07",2025,1,8,44911.49,359291.92,4
"ORD100038","CUST5869","Chair","2025-02-20",2025,1,7,40746.79,285227.53,6
"ORD100039","CUST7249","Rice","2025-10-20",2025,4,4,4794.08,19176.32,1
"ORD100040","CUST7465","Shoes","2025-03-07",2025,1,8,29270.98,234167.84,5
"ORD100041","CUST7988","Shoes","2025-04-21",2025,2,1,3992.85,3992.85,5
"ORD100042","CUST9953","Mobile","2025-05-31",2025,2,5,44365.94,221829.7,3
"ORD100043","CUST6938","Mobile","2025-04-20",2025,2,4,29915.72,119662.88,3
"ORD100044","CUST3006","Chair","2025-09-22",2025,3,6,16521.44,99128.64,6
"ORD100045","CUST5151","Rice","2025-07-04",2025,3,6,14399.11,86394.66,1
"ORD100046","CUST5903","Shoes","2025-04-26",2025,2,9,1491.63,13424.67,5
"ORD100047","CUST4943","Rice","2025-05-11",2025,2,2,6210.24,12420.48,1
"ORD100048","CUST4750","Mobile","2025-09-02",2025,3,2,47649.61,95299.22,3
"ORD100049","CUST2705","Mobile","2025-10-25",2025,4,5,24854.05,124270.25,3
"ORD100050","CUST5523","Chair","2025-10-03",2025,4,9,30834.87,277513.83,6
"ORD100051","CUST1557","Chair","2025-02-27",2025,1,6,20561.97,123371.82,6
"ORD100052","CUST2062","Book","2025-09-09",2025,3,10,49367.75,493677.5,2
"ORD100053","CUST9203","Laptop","2025-06-08",2025,2,6,4656.1,27936.6,4
"ORD100054","CUST8053","Rice","2025-07-07",2025,3,7,42345.82,296420.74,1
"ORD100055","CUST1017","Shoes","2025-04-16",2025,2,7,37747.24,264230.68,5
"ORD100056","CUST2690","Book","2025-11-16",2025,4,2,33304.17,66608.34,2
"ORD100057","CUST2791","Laptop","2025-12-07",2025,4,6,41157.44,246944.64,4
"ORD100058","CUST4496","Chair","2025-03-12",2025,1,7,47669.63,333687.41,6
"ORD100059","CUST8811","Chair","2025-12-12",2025,4,1,44708.5,44708.5,6
"ORD100060","CUST2411","Mobile","2025-01-15",2025,1,5,36809.08,184045.4,3
"ORD100061","CUST2350","Mobile","2025-11-08",2025,4,4,25292.97,101171.88,3
"ORD100062","CUST9745","Shoes","2025-07-06",2025,3,1,29263.26,29263.26,5
"ORD100063","CUST6236","Laptop","2025-07-15",2025,3,3,5679.91,17039.73,4
"ORD100064","CUST1887","Chair","2025-09-26",2025,3,6,46235.96,277415.76,6
"ORD100065","CUST5386","Rice","2025-05-16",2025,2,9,27164.06,244476.54,1
"ORD100066","CUST8065","Mobile","2025-07-25",2025,3,10,8905.49,89054.9,3
"ORD100067","CUST8841","Book","2025-01-30",2025,1,10,17406.52,174065.2,2
"ORD100068","CUST5871","Chair","2025-02-25",2025,1,5,27366.58,136832.9,6
"ORD100069","CUST9869","Book","2025-06-24",2025,2,5,41282.63,206413.15,2
"ORD100070","CUST9017","Book","2025-08-15",2025,3,8,13645.41,109163.28,2
"ORD100071","CUST1808","Chair","2025-10-21",2025,4,8,27337.64,218701.12,6
"ORD100072","CUST2565","Shoes","2025-08-25",2025,3,5,29219.72,146098.6,5
"ORD100073","CUST4958","Rice","2025-06-19",2025,2,3,8572.65,25717.95,1
"ORD100074","CUST7587","Laptop","2025-12-04",2025,4,9,45419.62,408776.58,4
"ORD100075","CUST2157","Mobile","2025-03-30",2025,1,4,21599.26,86397.04,3
"ORD100076","CUST8430","Laptop","2025-12-30",2025,4,2,8883.45,17766.9,4
"ORD100077","CUST1956","Shoes","2025-12-27",2025,4,9,12290.45,110614.05,5
"ORD100078","CUST9846","Book","2025-04-14",2025,2,6,10784.64,64707.84,2
"ORD100079","CUST4706","Rice","2026-01-01",2026,1,1,35862.34,35862.34,1
"ORD100080","CUST5607","Rice","2025-08-21",2025,3,1,13129.64,13129.64,1
"ORD100081","CUST8211","Chair","2025-03-05",2025,1,9,45747.37,411726.33,6
"ORD100082","CUST5367","Book","2025-09-01",2025,3,6,5849.89,35099.34,2
"ORD100083","CUST8346","Laptop","2025-01-06",2025,1,9,48845.5,439609.5,4
"ORD100084","CUST7484","Book","2025-10-24",2025,4,9,24828.05,223452.45,2
"ORD100085","CUST7911","Mobile","2025-03-07",2025,1,8,17841.4,142731.2,3
"ORD100086","CUST4229","Book","2025-08-24",2025,3,10,13662.66,136626.6,2
"ORD100087","CUST2290","Book","2025-03-17",2025,1,4,12169.49,48677.96,2
"ORD100088","CUST1246","Mobile","2025-12-17",2025,4,6,349.06,2094.36,3
"ORD100089","CUST3689","Laptop","2025-04-16",2025,2,8,20498.74,163989.92,4
"ORD100090","CUST7476","Book","2025-10-29",2025,4,9,13111.39,118002.51,2
"ORD100091","CUST7037","Rice","2025-12-15",2025,4,9,45000.49,405004.41,1
"ORD100092","CUST8578","Laptop","2025-12-24",2025,4,2,3455.06,6910.12,4
"ORD100093","CUST6618","Shoes","2025-04-28",2025,2,8,28874.64,230997.12,5
"ORD100094","CUST4650","Shoes","2025-11-07",2025,4,3,47917.49,143752.47,5
"ORD100095","CUST5091","Rice","2025-02-19",2025,1,10,21399.51,213995.1,1
"ORD100096","CUST2190","Rice","2025-05-31",2025,2,5,15127.88,75639.4,1
"ORD100097","CUST7277","Shoes","2025-11-12",2025,4,7,41677.34,291741.38,5
"ORD100098","CUST8623","Mobile","2025-01-22",2025,1,10,40745.55,407455.5,3
"ORD100099","CUST5232","Mobile","2025-02-13",2025,1,2,31217.12,62434.24,3
"ORD100100","CUST7462","Laptop","2025-11-02",2025,4,5,553.62,2768.1,4
"ORD100101","CUST7588","Rice","2025-10-05",2025,4,4,6974.66,27898.64,1
"ORD100102","CUST5005","Book","2025-12-19",2025,4,9,19437.88,174940.92,2
"ORD100103","CUST3210","Laptop","2025-01-14",2025,1,9,13617.93,122561.37,4
"ORD100104","CUST5926","Chair","2025-12-12",2025,4,8,38897.58,311180.64,6
"ORD100105","CUST3809","Book","2025-11-23",2025,4,6,8547.07,51282.42,2
"ORD100106","CUST2079","Chair","2025-10-26",2025,4,7,46263.01,323841.07,6
